partido_id,grupo,fecha,local,visitante
1,Gp. A,14 de Junio,ALEMANIA,ESCOCIA
2,Gp. A,15 de Junio,HUNGRÍA,SUIZA
3,Gp. B,15 de Junio,ESPAÑA,CROACIA
4,Gp. B,15 de Junio,ITALIA,ALBANIA
5,Gp. C,16 de Junio,ESLOVENIA,DINAMARCA
6,Gp. C,16 de Junio,SERBIA,INGLATERRA
7,Gp. D,16 de Junio,POLONIA,PAÍSES BAJOS
8,Gp. D,17 de Junio,AUSTRIA,FRANCIA
9,Gp. E,17 de Junio,RUMANÍA,UCRANIA
10,Gp. E,17 de Junio,BÉLGICA,ESLOVAQUIA
11,Gp. F,18 de Junio,TURQUÍA,GEORGIA
12,Gp. F,18 de Junio,PORTUGAL,REP. CHECA
13,Gp. A,19 de Junio,ALEMANIA,HUNGRÍA
14,Gp. A,19 de Junio,ESCOCIA,SUIZA
15,Gp. B,19 de Junio,CROACIA,ALBANIA
16,Gp. B,20 de Junio,ESPAÑA,ITALIA
17,Gp. C,20 de Junio,ESLOVENIA,SERBIA
18,Gp. C,20 de Junio,DINAMARCA,INGLATERRA
19,Gp. D,21 de Junio,POLONIA,AUSTRIA
20,Gp. D,21 de Junio,PAÍSES BAJOS,FRANCIA
21,Gp. E,21 de Junio,ESLOVAQUIA,UCRANIA
22,Gp. E,22 de Junio,BÉLGICA,RUMANÍA
23,Gp. F,22 de Junio,GEORGIA,REP. CHECA
24,Gp. F,22 de Junio,TURQUÍA,PORTUGAL
25,Gp. A,23 de Junio,ESCOCIA,HUNGRÍA
26,Gp. A,23 de Junio,SUIZA,ALEMANIA
27,Gp. B,24 de Junio,CROACIA,ITALIA
28,Gp. B,24 de Junio,ALBANIA,ESPAÑA
29,Gp. C,25 de Junio,INGLATERRA,ESLOVENIA
30,Gp. C,25 de Junio,DINAMARCA,SERBIA
31,Gp. D,25 de Junio,PAÍSES BAJOS,AUSTRIA
32,Gp. D,25 de Junio,FRANCIA,POLONIA
33,Gp. E,26 de Junio,UCRANIA,BÉLGICA
34,Gp. E,26 de Junio,ESLOVAQUIA,RUMANÍA
35,Gp. F,26 de Junio,GEORGIA,PORTUGAL
36,Gp. F,26 de Junio,REP. CHECA,TURQUÍA
