partido_id,grupo,fecha,local,visitante,row,home_goals_col,away_goals_col
1,Gp. A,11 de Junio,MEXICO,SUDÁFRICA,6,5,7
2,Gp. A,12 de Junio,COREA DEL SUR,REP. CHECA,7,5,7
3,Gp. B,12 de Junio,CANADA,BOSNIA,8,5,7
4,Gp. B,13 de Junio,QATAR,SUIZA,9,5,7
5,Gp. C,14 de Junio,BRASIL,MARRUECOS,10,5,7
6,Gp. C,14 de Junio,HAITI,ESCOCIA,11,5,7
7,Gp. D,13 de Junio,ESTADOS UNIDOS,PARAGUAY,12,5,7
8,Gp. D,14 de Junio,AUSTRALIA,TURQUÍA,13,5,7
9,Gp. E,14 de Junio,ALEMANIA,CURAÇAO,14,5,7
10,Gp. E,15 de Junio,COSTA DEMARFIL,ECUADOR,15,5,7
11,Gp. F,14 de Junio,PAISES BAJOS,JAPÓN,16,5,7
12,Gp. F,15 de Junio,SUECIA,TÚNEZ,17,5,7
13,Gp. G,15 de Junio,BÉLGICA,EGIPTO,18,5,7
14,Gp. G,16 de Junio,IRÁN,NUEVA ZELANDA,19,5,7
15,Gp. H,16 de Junio,ARABIA SAUDÍ,URUGUAY,20,5,7
16,Gp. H,15 de Junio,ESPAÑA,CABO VERDE,21,5,7
17,Gp. I,16 de Junio,FRANCIA,SENEGAL,22,5,7
18,Gp. I,17 de Junio,IRAQ,NORUEGA,23,5,7
19,Gp. J,17 de Junio,ARGENTINA,ARGELIA,24,5,7
20,Gp. J,17 de Junio,AUSTRIA,JORDANIA,25,5,7
21,Gp. K,17 de Junio,PORTUGAL,R.D.CONGO,26,5,7
22,Gp. K,18 de Junio,UZBEKISTÁN,COLOMBIA,27,5,7
23,Gp. L,17 de Junio,INGLATERRA,CROCIA,28,5,7
24,Gp. L,18 de Junio,GHANA,PANAMÁ,29,5,7
25,Gp. A,18 de Junio,REP. CHECA,SUDÁFRICA,6,11,13
26,Gp. A,19 de Junio,MEXICO,COREA DEL SUR,7,11,13
27,Gp. B,19 de Junio,CANADA,QATAR,8,11,13
28,Gp. B,18 de Junio,SUIZA,BOSNIA,9,11,13
29,Gp. C,20 de Junio,ESCOCIA,MARRUECOS,10,11,13
30,Gp. C,20 de Junio,BRASIL,HAITI,11,11,13
31,Gp. D,19 de Junio,ESTADOS UNIDOS,AUSTRALIA,12,11,13
32,Gp. D,20 de Junio,TURQUÍA,PARAGUAY,13,11,13
33,Gp. E,20 de Junio,ALEMANIA,COSTA DE MARFIL,14,11,13
34,Gp. E,21 de Junio,ECUADOR,CURAÇAO,15,11,13
35,Gp. F,20 de Junio,PAISES BAJOS,SUECIA,16,11,13
36,Gp. F,21 de Junio,TÚNEZ,JAPÓN,17,11,13
37,Gp. G,21 de Junio,BÉLGICA,IRÁN,18,11,13
38,Gp. G,22 de Junio,NUEVA ZELANDA,EGIPTO,19,11,13
39,Gp. H,21 de Junio,ESPAÑA,ARABIA SAUDÍ,20,11,13
40,Gp. H,22 de Junio,URUGUAY,CABO VERDE,21,11,13
41,Gp. I,22 de Junio,FRANCIA,IRAQ,22,11,13
42,Gp. I,23 de Junio,NORUEGA,SENEGAL,23,11,13
43,Gp. J,22 de Junio,ARGENTINA,AUSTRIA,24,11,13
44,Gp. J,23 de Junio,JORDANIA,ARGELIA,25,11,13
45,Gp. K,23 de Junio,PORTUGAL,UZBEKISTÁN,26,11,13
46,Gp. K,24 de Junio,COLOMBIA,R.D. CONGO,27,11,13
47,Gp. L,23 de Junio,INGLATERRA,GHANA,28,11,13
48,Gp. L,24 de Junio,PANAMÁ,CROACIA,29,11,13
49,Gp. A,25 de Junio,REP. CHECA,MEXICO,6,17,19
50,Gp. A,25 de Junio,SUDÁFRICA,COREA DEL SUR,7,17,19
51,Gp. B,24 de Junio,BOSNIA,QATAR,8,17,19
52,Gp. B,24 de Junio,SUIZA,CANADA,9,17,19
53,Gp. C,25 de Junio,MARRUECOS,HAITI,10,17,19
54,Gp. C,25 de Junio,ESCOCIA,BRASIL,11,17,19
55,Gp. D,26 de Junio,PARAGUAY,AUSTRALIA,12,17,19
56,Gp. D,26 de Junio,TURQUÍA,ESTADOS UNIDOS,13,17,19
57,Gp. E,25 de Junio,CURAÇAO,COSTA DE MARFIL,14,17,19
58,Gp. E,25 de Junio,ECUADOR,ALEMANIA,15,17,19
59,Gp. F,26 de Junio,JAPÓN,SUECIA,16,17,19
60,Gp. F,26 de Junio,TÚNEZ,PAISES BAJOS,17,17,19
61,Gp. G,27 de Junio,EGIPTO,IRÁN,18,17,19
62,Gp. G,27 de Junio,NUEVA ZELANDA,BÉLGICA,19,17,19
63,Gp. H,27 de Junio,CABO VERDE,ARABIA SAUDÍ,20,17,19
64,Gp. H,27 de Junio,URUGUAY,ESPAÑA,21,17,19
65,Gp. I,26 de Junio,NORUEGA,FRANCIA,22,17,19
66,Gp. I,26 de Junio,SENEGAL,IRAQ,23,17,19
67,Gp. J,28 de Junio,ARGELIA,AUSTRIA,24,17,19
68,Gp. J,28 de Junio,JORDANIA,ARGENTINA,25,17,19
69,Gp. K,28 de Junio,COLOMBIA,PORTUGAL,26,17,19
70,Gp. K,28 de Junio,R.D.CONGO,UZBEKISTÁN,27,17,19
71,Gp. L,27 de Junio,CROACIA,GHANA,28,17,19
72,Gp. L,27 de Junio,PANAMÁ,INGLATERRA,29,17,19
